W_top,W_bot,tsi,Vg
71.57,202.66,38.98,35.53
66.76,194.41,11.94,17.58
102.31,147.67,48.77,33.33
37.02,225.42,22.18,26.97
22.46,135.29,14.6,17.24
29.51,114.66,35.35,2.32
114.66,184.22,39.16,38.54
10.9,137.52,18.5,28.27
125.67,144.72,36.84,14.26
100,249.64,16.04,27.03
115.34,194.81,20.17,2.6
26.16,201.16,16.88,29.9
159.84,240.74,34.26,18.82
16.03,21.72,37.41,31.17
33.01,150.62,30.11,25.26
131.97,146.44,15.18,12.01
10.8,37.46,43.18,11.99
128.93,180.39,20.72,20.01
111.51,175.93,25.91,26.32
12.55,205.08,35.08,33.71
82.42,109.22,27.11,36.11
64.44,96.5,36.34,3.21
56.63,114.88,12.12,14.96
13.86,63.15,32.36,2.75
39.21,59.69,29.13,35.1
163.34,164.02,28.86,19.52
25.39,143.76,22.78,5.36
0.73,11.03,16.09,22.74
205.27,246.09,19.48,8.19
11.86,117.41,21.01,11.99
3.12,54.44,37.06,2.83
85.64,89.52,27.24,27.76
55.9,163.96,35.49,36.03
92.84,183.31,30.7,24.73
3.93,14.4,21.89,27.03
3.02,131.8,22.73,37.88
28.78,224.4,23.03,14.11
110.02,152.22,27.57,21.57
35.11,41.19,39.4,30.46
91.57,109,29.27,25.4
19.32,44.72,25.2,31.32
11.98,231.16,29.57,34.21
183.25,194.96,13.74,15.91
75.46,174.17,27.87,10.18
19.92,230.74,28.63,18.35
4.04,112.73,20.25,12.47
23,93.52,48.48,27.47
20.58,98.79,11.8,31.04
59.49,68.72,30.66,16.03
28.83,57.86,34.79,8.25
52.06,77.18,11.49,0.98
10.63,230.46,20.85,35.28
116.75,147.43,29.38,8.51
32.71,50.09,20.61,29.57
45.93,49.76,29,18.22
31.41,54.53,11.39,2.35
36.35,80.59,11.09,21.12
51.23,72.27,31.84,6.68
27.01,52.98,19.29,30.75
97.48,228.61,15.56,9.44
49.23,80.92,43.21,22.3
7.18,28.28,45.02,21.05
32.39,233.9,16.02,3.78
15.79,98.61,32.38,19.69
58.25,148.57,34.97,17.42
63.2,152.37,13.21,33.66
21.56,29.28,39.89,0.94
190.72,243.15,17.02,39.6
15.02,20.39,20.68,3
9.03,44.91,12.47,21.69
70.8,152.29,38.69,1.46
2.32,223.42,36.77,30.57
204.18,239.78,33.34,13.2
2,85.04,37.72,23.44
8.6,71.58,32.66,9.25
42.87,126.22,15.05,29.41
4.49,15.57,38.14,32.44
18.28,36.79,10.47,18.68
19.76,43.39,13.61,10.88
8.45,65.63,10.78,32.76
34.35,100.58,45.63,25.24
10.05,38.72,12.25,29.9
191.41,204.92,47.05,38.64
53.68,110.13,26.59,7.93
43.04,75.44,38.43,23.23
50.68,55.41,19.08,2.96
134.59,149.96,45.94,31.73
47.99,91.76,48.62,36.65
27.2,149.35,16.69,29.16
108.69,189.01,48.72,9.64
183.8,227.18,34.26,4.86
4.12,159.97,29.07,21.83
61.96,157.41,22.59,11.32
133.79,225.38,16.34,0.87
5.6,26.58,29.44,17.03
23.32,190.46,35.59,4.27
57.83,205.39,33.48,38.19
98.03,135.59,29.17,39.4
20.13,43.12,49.78,31.82
88.65,101.03,40.11,37.39
56.67,60.08,35.55,34
50.88,97.95,25.31,35.81
97.99,149.95,12.91,6.44
87.78,167.86,11.08,31.15
60.88,240.24,36.92,35.55
152.85,194.25,43.87,16.26
77.37,161.31,37.05,20.41
15.49,187.88,46.34,31.17
20.46,22.24,22.54,34.45
206.25,212.68,37.66,7.88
46.46,67.04,25.5,26.6
23.19,88.84,36.58,36.83
80.92,176.65,18.48,4.54
41.05,100.73,19.41,9.47
36.11,104.35,23.53,6.11
30.45,57.84,27.4,26.24
4.3,25.37,21.15,0.92
32.6,62.39,30.94,28.88
11.04,109.73,33.07,5.61
22.5,187.07,47.12,14.54
69.16,123.3,41.18,31.78
49.04,120.65,38.3,8.27
11.05,175.41,43.16,0.81
118.19,191.86,45.17,32.8
38.05,50.9,47.66,0.35
5.97,47.95,28.98,9.56
21.46,114.32,47.39,8.01
185.77,234.69,17.29,28.25
29.39,36.75,43.4,14.03
19.03,96.62,20.12,19.25
33.83,94.46,23.92,24.99
1.17,90.74,43.62,30.83
127.99,179.52,45.84,38.93
74.45,96.51,21.27,30.5
18.32,34.37,13.7,6.28
43.73,107.68,39.51,30.21
85.96,102.99,35.19,39.62
50.49,106.5,24.98,33.31
10.9,150.3,32.52,37.21
111.22,182.81,42.15,33.46
76.19,79.89,11.99,17.35
24.77,82.26,25.77,21.07
38.31,44.69,16.34,4.31
17.31,53.47,15.72,24.02
38.17,62.24,32.14,35.4
12.19,88.71,34.76,12.68
17.45,30.91,22.83,28.27
0.56,13.08,38.33,36.11
45.31,60.02,34.94,8.47
50.7,72.37,37.5,8.36
0.51,12.09,38.46,10.69
168.6,183.74,44.47,31.53
39.25,56.05,40.04,37.89
63.71,161.39,11.08,27.64
236.72,244.5,49.81,34.67
118.13,216.66,39.74,18.24
6.46,34.01,19.24,19.05
23.21,92.35,18.69,8.2
152.99,216.37,44.17,6.85
139.93,151.92,28.31,34.23
21.32,78.25,45.84,9.9
214.91,241.86,30.06,38.67
118.07,196.18,21,16.69
110.57,200.92,18.25,5.96
4.81,31.57,18.51,10.91
29.89,50.56,44.12,34.05
26.93,101.74,48.4,20.82
39.8,141.45,12.82,14.47
49.74,91.2,39.34,31.06
69.18,87.03,47.27,13.57
247.33,249.03,19.41,11.33
63.67,223.99,35.07,12.03
19.97,189.55,36.44,35.78
22.31,180.18,21.88,38.64
16.47,90.82,38.22,6.57
110.33,209.24,36.48,21.67
51.14,78.46,23.68,32.86
195.95,224.97,30.21,22.33
155.56,210.45,22.01,7.1
159.91,174.47,41.14,22.21
6.05,215.56,17.37,23.75
86.31,128.29,37.71,33.62
126.67,210.21,42.02,8.03
55.5,161.3,16.41,2.92
80.71,190.77,40.66,17.32
55.39,106.6,27.47,20.47
32.22,34.84,16.28,38.58
67.78,107.14,20.73,37.99
5.21,49.63,26.81,38.98
10.34,21.97,49.59,24.3
36.31,90.93,26.77,1.96
45.56,172.9,21.4,35.19
127.64,229.29,10.03,3.81
158.78,160.83,48.84,17.47
14.75,38.86,43.72,30.01
19.81,99.74,24.09,23.68
214.03,241.25,47.62,23.65
26.92,70.25,20.65,39.36
214.77,245.5,17.99,34.01
199.24,246.21,10.81,9.84
0.16,55.63,44.53,19.62
41.08,215.33,22.96,36.44
105.59,158.63,21.75,13.72
11.42,113.04,31.11,23.23
84.73,103.17,37.08,5.3
45.35,48.69,28.03,32.41
3.22,22.95,35.93,0.19
69.1,150.75,19.8,35.73
